words,person,entertain,disease,singers,books,politician,athletes,actor_m,actor_f
양배추,주진우,인피니트,거인병,4miles,서유기,강길부,감사용,조희봉,정인선
마늘갈비탕,김진우,이수만,말단비대증,BC (가수),학교에 오지 않는 아이,강병원,강관식,차태현,조현 (배우)
안티페미,배인규,B1A4,,CIKI,남산골 두 기자,강석진,강규철,김영기 (배우),양재희 (희극인)
반페미,배우진,블락비,,Def.의 음반 목록,열두살에게는 너무 무거운 비밀,강석호,강길룡,오제근,차예련
신흥,강상수,EXO,,Def.의 음반 외 활동 목록,구달,강창일,강동우,신문성,권영경
기안84,배종찬,슈퍼주니어,,DEMIAN,인어소녀,강효상,강병규,정원중,함은정
이리나,이기인,VIXX,,DPR LIVE,알아맞혀봐 곤충가면놀이,강훈식,강봉규,김경남 (1989년),이보림
비타민b1,,비투비,,G.Soul,내 손 안의 인문학 꿈의 문,경대수,강인권,진혁 (배우),오하늬
해커,,B.A.P,,G.고릴라,슬기로운 미디어 생활,고용진,강철원,이한주 (배우),여민주
경칩,,틴탑,,H (가수),체게바라와 여행하는 법,곽대훈,계형철,전승빈,문보연
태권도,,GOT7,,I'll,가난한 아이들의 선생님,권미혁,고봉재,장기범 (배우),염현서
한겨울,,iKON,,JAY B,고전의 시선,권석창,고원부,황택하,손미희
뷰티,,세븐틴,,JAY B의 음반 목록,"로힝야소년,수피가 사는집",권은희,고원준,박종환 (모델),송지은 (가수)
예술회관,,몬스타엑스,,JAY B의 음반 외 활동 목록,탐정칸의 대단한 모험,권칠승,고창성,강신구 (배우),윤소윤
레스토랑,,엠블랙,,JK 김동욱,아픔이 길이 되려면,기동민,구자운,박병철 (배우),이규리
호구,,FT아일랜드,,JMELLOW,영화로 진로를 디자인하라,김경진,구천서,이종원 (1994년),김준형 (배우)
워마드,,보이프렌드,,Jun. K,과학이 내게로 왔다,김경협,권명철,박유천,김창숙 (1949년)
남초,,소년공화국,,K2 (가수),고전하는 십대의 이유있는 고전,김관영,금민철,이재우 (1981년),방수진
민식이법,,유키스,,KCM,사물의 역습,김광림,김경원,신성균 (배우),이정비
헬기,,에이젝스,,Key (가수),설민석한국사대모험5권,김규환,김광림,박재랑,심진화
이용훈,,히스토리,,LEW,설민석한국사대모험6권,김기선,김대진,심원철,이정윤
오승환,,빅스타,,MC BK,설민석한국사대모험7권,김도읍,김도균,조규철,김이경
마츠카,,B.I.G,,Mc K,왓칭,김두관,김동길,이종원 (배우),방은희
울면,,제국의아이들,,MC 야성,공부하는 힘,김명연,김동주,최홍일,정가은
오재일,,마이네임,,MJ (가수),그녀 이름은,김민기,김명신,손창민,이다희 (배우)
화양연화,,스피드,,Mr. Room9,제2의 종교개혁,김병관,김명제,이찬형 (배우),유지수 (배우)
구치소,,엔플라잉,,NY물고기,35년1,김병기,김민호,정욱진,최희진 (배우)
다카타,,소속사,,RNP (가수),35년2,김병욱,김상진,홍근택,박현영 (배우)
연어초밥,,REDLINE,,Ryu (가수),35년3,김삼화,김상현,이두경,김혜지 (배우)
박소담,,스타제국,,SAZA최우준,너라는계절,김상훈,김상호,한재하,고주희
잠수함,,케니스타,,TULA,수상한식물들,김선동,김선우,박승호 (배우),한가인
데이식스,,Jellyfish,,Y (가수),앨리스 너만의 길을 그려봐,김성식,김성배,김두진 (배우),엄수정
폴로,,NEXTLEVEL,,Young K,보노보노의 인생상담,김성원,김영신,이정호 (배우),박혜진 (배우)
건면,,플레디스,,가호 (가수),단하루도 너를 사랑하지 않은 날이 없다,김성찬,김우열,김성태 (1990년),최은숙 (배우)
지평건설,,SS,,강건우 (2001년),자연은 위대한 스승이다,김성환,김원섭,이민기,정유민
정형식,,DSP,,강균성,"랩걸,나무,과학,그리고 사랑",김세연,김유동,신현종 (1961년),김혜화
폴더블폰,,YAMA HOTCHICKS,,강남 (가수),말그릇,김수민,김종석,이태리 (배우),한지성
장맛비,,M&H,,강다니엘,모든것을 기억하는 남자,김순례,김진욱,오종혁,이지혜
돼지고기,,MIDAS,,강동성,"신의밥상,인간의밥상",김승희,김진홍,윤석진,이효비
한글날,,Happyface,,강두,이토록 공부가 재미있어지는 순간,김영우,김창훈,임하룡,한연수 (배우)
망경사,,MJ,,강문경,네가 진짜로 원하는 인생을 살아,김영진,김창희,윤희원,지안 (배우)
